Time_Sec,Fluorescence
355.5,4467.72
356,4460.19
356.5,4461.63
357,4465.63
357.5,4469.84
358,4470.7
358.5,4470.43
359,4466.85
359.5,4468.42
360,4471.06
360.5,4474.23
361,4475.88
361.5,4473.89
362,4475.97
362.5,4483.21
363,4482.62
363.5,4482.23
364,4485.5
364.5,4484.02
365,4486.91
365.5,4490.15
366,4498.18
366.5,4499.4
367,4493.07
367.5,4490.75
368,4493.04
368.5,4492.73
369,4479.29
369.5,4474.5
370,4475.21
370.5,4469.06
371,4469.74
371.5,4477.37
372,4482.45
372.5,4483.73
373,4483.6
373.5,4482.49
374,4482.52
374.5,4483.11
375,4482.69
375.5,4472.39
376,4463.28
376.5,4464.3
377,4463.8
377.5,4468.21
378,4465.43
378.5,4460.16
379,4463.05
379.5,4463.76
380,4465.86
380.5,4465.68
381,4464.44
381.5,4464.59
382,4464.49
382.5,4464.45
383,4469.62
383.5,4475.3
384,4477.66
384.5,4481.29
385,4480.33
385.5,4480.36
386,4484.07
386.5,4485.99
387,4487.26
387.5,4493.22
388,4497.99
388.5,4495.22
389,4482.46
389.5,4475.15
390,4472.92
390.5,4468.97
391,4469.38
391.5,4469.48
392,4468.87
392.5,4465.09
393,4465.31
393.5,4463.33
394,4456.52
394.5,4455.75
395,4456.11
395.5,4455.98
396,4457.49
396.5,4455.94
397,4457.45
397.5,4458.36
398,4456.38
398.5,4453.09
399,4452.98
399.5,4455.33
400,4455.97
400.5,4453.74
401,4448
401.5,4448.62
402,4443.99
402.5,4435.4
403,4437.14
403.5,4439.92
404,4439.59
404.5,4440.16
405,4442.2
405.5,4442.81
406,4441.9
406.5,4444.13
407,4447.82
407.5,4449.59
408,4448.96
408.5,4448.17
409,4442.44
409.5,4434.18
410,4429.85
410.5,4431.44
411,4439.72
411.5,4449.02
412,4454.58
412.5,4457.7
413,4462.18
413.5,4466.86
414,4471.27
414.5,4471.28
415,4467.14
415.5,4469.24
416,4474.2
416.5,4475.83
417,4475.72
417.5,4471.54
418,4467.51
418.5,4462.7
419,4463.84
419.5,4470.07
420,4470.98
420.5,4472.91
421,4471.54
421.5,4471.26
422,4471.28
422.5,4471.34
423,4471.23
423.5,4473.1
424,4476.28
424.5,4476.47
425,4476.33
425.5,4474.31
426,4474.88
426.5,4479.85
427,4483.78
427.5,4483.41
428,4483.86
428.5,4482.59
429,4484.24
429.5,4486.07
430,4481.44
430.5,4477.95
431,4479.82
431.5,4487.35
432,4492.92
432.5,4489.19
433,4488.92
433.5,4490.44
434,4492.83
434.5,4499.84
435,4502.64
435.5,4499.47
436,4496.49
436.5,4492.77
437,4493.48
437.5,4499.54
438,4501.77
438.5,4506.63
439,4508.18
439.5,4502.21
440,4494.49
440.5,4486.56
441,4481.1
441.5,4476.88
442,4475.35
442.5,4480
443,4489.8
443.5,4497.31
444,4501.08
444.5,4503.24
445,4504.55
445.5,4504.52
446,4498.68
446.5,4495.66
447,4494.13
447.5,4498.55
448,4506.59
448.5,4506.08
449,4504.93
449.5,4506.51
450,4504.3
450.5,4498.71
451,4502.11
451.5,4504.6
452,4503.36
452.5,4503.03
453,4501.21
453.5,4505.75
454,4503.11
454.5,4495.71
455,4496.96
455.5,4497.96
456,4500.13
456.5,4506.66
457,4509.1
457.5,4502.71
458,4497.15
458.5,4498.4
459,4498.67
459.5,4496.61
460,4495.5
460.5,4496.35
461,4492.27
461.5,4492.87
462,4497.05
462.5,4502.04
463,4508.71
463.5,4511.39
464,4514.88
464.5,4516.06
465,4516.46
465.5,4509.36
466,4498.57
466.5,4495.3
467,4491.59
467.5,4491.25
468,4489.55
468.5,4483.87
469,4484.58
469.5,4481.35
470,4477.9
470.5,4480.95
471,4484.15
471.5,4486.5
472,4485.81
472.5,4477.15
473,4470.97
473.5,4471.25
474,4477.08
474.5,4484.42
475,4482.65
475.5,4478.79
476,4476.69
476.5,4475.97
477,4473.1
477.5,4466.65
478,4462.42
478.5,4463.24
479,4464.27
479.5,4468.64
480,4472.37
480.5,4468.56
481,4462.54
481.5,4464.08
482,4469.71
482.5,4471.52
483,4473.74
483.5,4466.65
484,4457.69
484.5,4458.3
485,4459.02
485.5,4456.1
486,4456.92
486.5,4462.1
487,4461.05
487.5,4463.75
488,4471.63
488.5,4474.47
489,4479.26
489.5,4483.13
490,4482.38
490.5,4482.19
491,4480.93
491.5,4479.04
492,4477.5
492.5,4476.32
493,4473.52
493.5,4471.45
494,4471.86
494.5,4476.25
495,4478.61
495.5,4475.04
496,4470.33
496.5,4468.06
497,4475.56
497.5,4476.22
498,4475.99
498.5,4474.6
499,4469.62
499.5,4473.02
500,4469.3
500.5,4462.93
501,4463.6
501.5,4462.48
502,4457.01
502.5,4450.8
503,4445.23
503.5,4446.51
504,4452.03
504.5,4450.25
505,4454.57
505.5,4460.9
506,4463.58
506.5,4464.92
507,4461.89
507.5,4459.93
508,4460.71
508.5,4460.87
509,4460.35
509.5,4464.58
510,4466.41
510.5,4465.41
511,4465.13
511.5,4464.08
512,4462.41
512.5,4460.19
513,4460.74
513.5,4467.15
514,4467.8
514.5,4464.31
515,4462.73
515.5,4462.54
516,4467.52
516.5,4469.57
517,4467.31
517.5,4466.33
518,4465.07
518.5,4465.34
519,4462.68
519.5,4461.28
520,4464.31
520.5,4469.48
521,4474.01
521.5,4475.38
522,4474.47
522.5,4475.86
523,4474.48
523.5,4466.18
524,4463.58
524.5,4464.73
525,4466.1
525.5,4466.15
526,4466.09
526.5,4468.56
527,4466.81
527.5,4464.2
528,4468.56
528.5,4473.09
529,4476.22
529.5,4482.09
530,4487.47
530.5,4481.3
531,4481.41
531.5,4487.88
532,4484.85
532.5,4484.04
533,4487.43
533.5,4486.73
534,4482.17
534.5,4484.79
535,4482.27
535.5,4468.74
536,4467.4
536.5,4475.12
537,4476.07
537.5,4477.66
538,4475.09
538.5,4467.59
539,4468.13
539.5,4470.57
540,4466.28
540.5,4465.37
541,4468.35
541.5,4470.68
542,4472.53
542.5,4472.44
543,4475.21
543.5,4473.64
544,4468.65
544.5,4464.01
545,4465.12
545.5,4471.67
546,4474.63
546.5,4475.2
547,4472.06
547.5,4468.37
548,4470.75
548.5,4473.6
549,4471.2
549.5,4475.13
550,4479.54
550.5,4476.79
551,4474.74
551.5,4475.06
552,4476.67
552.5,4483.39
553,4483.91
553.5,4478.67
554,4481.24
554.5,4478.23
555,4473.79
555.5,4478.45
556,4482.96
556.5,4482.64
557,4482.7
557.5,4487.11
558,4484.9
558.5,4479.44
559,4478.11
559.5,4474.96
560,4479.54
560.5,4481.74
561,4476.95
561.5,4471.18
562,4469.71
562.5,4470.8
563,4462.32
563.5,4459.02
564,4467.58
564.5,4473.09
565,4474.04
565.5,4475.24
566,4476.47
566.5,4470.08
567,4465.36
567.5,4466.35
568,4470.28
568.5,4478.77
569,4476.46
569.5,4473.53
570,4476.07
570.5,4473
571,4471.48
571.5,4472.18
572,4474.84
572.5,4476.88
573,4469.62
573.5,4472.38
574,4476.31
574.5,4469.46
575,4469.07
575.5,4478.43
576,4477.7
576.5,4470.49
577,4465.91
577.5,4463.76
578,4467.23
578.5,4474.76
579,4480.73
579.5,4475.04
580,4475.89
580.5,4474.54
581,4471.14
581.5,4464.15
582,4458.24
582.5,4455.09
583,4442.34
583.5,4429.15
584,4423.17
584.5,4437.35
585,4444.94
585.5,4442.1
586,4450.88
586.5,4456.37
587,4451.43
587.5,4446.2
588,4443.31
588.5,4436.97
589,4436.23
589.5,4439.36
590,4441.38
590.5,4442.44
591,4440.89
591.5,4438.08
592,4438.19
592.5,4440.87
593,4437.92
593.5,4436.64
594,4434.25
594.5,4435.78
595,4440.25
595.5,4447.18
596,4455.66
596.5,4454.64
597,4450.66
597.5,4451.76
598,4452.28
598.5,4450.06
599,4447.63
599.5,4448.29
600,4453.04
